guid,title,description,venue,url,published_at,updated_at
e3dc5caa18f9a16d7edcc09f8d5c2bb4,Harvey Weinstein's 2020 rape conviction overturned,"Victims group describes the New York appeal court's decision to retry Hollywood mogul as ""profoundly unjust"".",BBC,https://www.bbc.co.uk/news/world-us-canada-68899382,2024-04-25 18:24:04+00,2024-04-26 20:03:00.628113+00
297b7152cd95e80dd200a8e1997e10d9,Police and activists clash on Atlanta campus amid Gaza protests,"Meanwhile, hundreds of students march in Washington DC, and congresswoman Ilhan Omar joins protesters at a New York campus.",BBC,https://www.bbc.co.uk/news/live/world-us-canada-68898923,2024-04-25 13:40:25+00,2024-04-26 20:03:00.654819+00
170bd18d1635c44b9339bdbaf1e62123,Haiti PM resigns as transitional council sworn in,The council will try to restore order and form a new government in the nation gripped by gang violence.,BBC,https://www.bbc.co.uk/news/world-latin-america-68896323,2024-04-25 18:11:02+00,2024-04-26 20:03:00.663393+00
e696224ac208878a5cec8bdc9f97c632,Europe risks dying and faces big decisions - Macron,The French president delivers a stark warning for Europe to act fast to survive in a changing world.,BBC,https://www.bbc.co.uk/news/world-europe-68898887,2024-04-25 14:51:15+00,2024-04-26 20:03:00.672106+00
733f744b006fb13033d264efcaf8edad,Prosecutors ask for halt to case against Spain PM's wife,Pedro Sánchez is deciding whether to resign after a case against his wife by an anti-corruption group.,BBC,https://www.bbc.co.uk/news/world-europe-68895727,2024-04-25 13:07:42+00,2024-04-26 20:03:00.682205+00
18ba9f2676859f393a271d15692a9c6e,WATCH: Would you pay a tourist fee to enter Venice?,From Thursday visitors making a trip to the famous city at peak times will be charged a trial entrance fee.,BBC,https://www.bbc.co.uk/news/world-europe-68898441,2024-04-25 12:26:48+00,2024-04-26 20:03:00.690849+00
4f585bad8f61b715fbafe2f022ab0ae8,Supreme Court divided on whether Trump has immunity,"The justices discussed immunity, coups, pardons, Operation Mongoose - and the future of democracy.",BBC,https://www.bbc.co.uk/news/world-us-canada-68901817,2024-04-25 21:02:44+00,2024-04-26 20:03:00.704483+00
1efb5107e3267f3222932aa8340d9700,More than 150 killed as heavy rains pound Tanzania,The prime minister warns that El Niño-triggered heavy rains are likely to continue into May.,BBC,https://www.bbc.co.uk/news/world-africa-68896454,2024-04-25 16:27:14+00,2024-04-26 20:03:00.713303+00
0159cb36450aa273b256a85e5f4166a1,"Playboy model's interview 'aggravated' Trump, court hears",A tabloid publisher testifies the then-president didn't understand why he let Karen McDougal speak to media.,BBC,https://www.bbc.co.uk/news/live/world-us-canada-68894356,2024-04-25 12:38:00+00,2024-04-26 20:03:00.723912+00
5dae28f191cfd1047f67c409e616fc3f,Paris's Moulin Rouge loses windmill sails overnight,The cause of the sails' collapse from the roof of the world famous cabaret club is not yet clear.,BBC,https://www.bbc.co.uk/news/world-europe-68895836,2024-04-25 10:45:37+00,2024-04-26 20:03:00.733144+00
d2c3ff79d4e068911d05416ca061cd51,Ukraine uses longer-range US missiles for first time,"Missiles secretly delivered this month have been used to strike Russian targets in Crimea, US media say.",BBC,https://www.bbc.co.uk/news/world-europe-68893196,2024-04-25 10:12:08+00,2024-04-26 20:03:00.741139+00
b44911b9831e51edd683d3dd60c8e6c3,Hundreds of villagers killed in Burkina Faso army revenge attack - report,"Soldiers accused residents of aiding Islamist fighters before shooting at them, an investigation shows.",BBC,https://www.bbc.co.uk/news/world-africa-68879696,2024-04-25 07:42:41+00,2024-04-26 20:03:00.748673+00
108a5b6424658d51e1dca7d84aaf057d,Arizona indicts Trump allies over fake elector scheme,"Former Trump advisers Rudy Giuliani and Mark Meadows are among those charged, court documents show.",BBC,https://www.bbc.co.uk/news/world-us-canada-68893365,2024-04-25 02:24:44+00,2024-04-26 20:03:00.756129+00
a3113029a9ec60dd53fe8374b102f607,Meta AI spending plans cause share price slump,Investors react badly to the Facebook and WhatsApp owner spending more than anticipated on AI.,BBC,https://www.bbc.com/news/articles/cl40v5x483yo,2024-04-25 09:02:58+00,2024-04-26 20:03:00.764347+00
589148fac39fb19dbfa6463a5fbf117e,Spain's PM halts public duties as wife faces inquiry,"Pedro Sánchez says he will ""stop and reflect"" on whether to remain in the job.",BBC,https://www.bbc.co.uk/news/world-europe-68887669,2024-04-25 08:21:08+00,2024-04-26 20:03:00.772385+00
75dbe90a96c814cbfcc69093eff25d95,Gaza protesters clash with police at US universities,Demonstrators in Texas were met with state troopers as protests lead to arrests on campuses across the country.,BBC,https://www.bbc.co.uk/news/world-us-canada-68851625,2024-04-24 20:33:04+00,2024-04-26 20:03:00.780104+00
40500dbf1b87c9e0f45a74d1afdff530,Inside Columbia's campus as students protest,"Hundreds of students have been camping on the university lawn, sparking a nationwide wave of campus protests.",BBC,https://www.bbc.co.uk/news/world-us-canada-68887165,2024-04-24 11:11:10+00,2024-04-26 20:03:00.78748+00
5ebde7497bee52c19454f9a792c00c44,Gag orders and tabloid schemes at Trump trial,Day six of Donald Trump's hush-money trial in New York heard damaging testimony from a tabloid publisher.,BBC,https://www.bbc.co.uk/news/world-us-canada-68886692,2024-04-23 22:36:46+00,2024-04-26 20:03:00.796362+00
c3ba0a4ea42e4c8e604a8c0aa5561474,Arrests and anger at US university pro-Palestinian demos,"Dozens of student protesters have been arrested at Columbia, Yale and New York University in recent days.",BBC,https://www.bbc.co.uk/news/world-us-canada-68881595,2024-04-23 10:21:23+00,2024-04-26 20:03:00.803629+00
bf16cedd63d9a403517a9fa7a2a534f7,BBC witnesses boarding of boat which left five dead,"The BBC's Andrew Harding, in France, witnesses people clambering aboard a small boat bound for the UK.",BBC,https://www.bbc.co.uk/news/world-europe-68880792,2024-04-23 12:25:12+00,2024-04-26 20:03:00.810969+00
fac31989a0cc100eb78ae75e4fc7b80d,Blinken says China helping fuel Russian threat to Ukraine,The US Secretary of State was speaking to the BBC at the end of a three-day trip to China.,BBC,https://www.bbc.co.uk/news/world-asia-china-68905475,2024-04-26 13:22:13+00,2024-04-27 12:32:43.120864+00
3ec2da91f3bc52d3997d7c98f911bcc1,China warns US not to step on its 'red lines',Secretary of State Antony Blinken said he had raised a number of US concerns with the Chinese leader.,BBC,https://www.bbc.com/news/articles/c2547ll8z0ro,2024-04-26 12:12:38+00,2024-04-27 12:32:43.149306+00
